match_id1,new_mmtm11,new_mmtm21,delta1,match_id2,new_mmtm12,new_mmtm22,delta2,match_id3,new_mmtm13,new_mmtm23,delta3,match_id4,new_mmtm14,new_mmtm24,delta4
2023-wimbledon-2701,0.39256,-0.44584,0.8384,2023-usopen-1701,-0.3644,1.17645,-1.54085,2021-frenchopen-1701,8.16E-04,-0.09181,0.09263,2021-ausopen-WS701,-0.79237,4.31375,-5.10612
2023-wimbledon-2701,0.24968,-0.29107,0.54075,2023-usopen-1701,-0.38625,1.22966,-1.61591,2021-frenchopen-1701,0.01558,-0.00579,0.02137,2021-ausopen-WS701,-0.65064,3.68957,-4.34021
2023-wimbledon-2701,0.10991,-0.1347,0.24461,2023-usopen-1701,-0.40427,1.27666,-1.68093,2021-frenchopen-1701,0.03043,0.07714,-0.04671,2021-ausopen-WS701,-0.52085,3.08352,-3.60437
2023-wimbledon-2701,-0.02633,0.02407,-0.0504,2023-usopen-1701,-0.41828,1.31896,-1.73724,2021-frenchopen-1701,0.0453,0.15673,-0.11143,2021-ausopen-WS701,-0.41034,2.52503,-2.93537
2023-wimbledon-2701,-0.16092,0.1881,-0.34902,2023-usopen-1701,-0.42839,1.35933,-1.78772,2021-frenchopen-1701,0.06008,0.2328,-0.17272,2021-ausopen-WS701,-0.32193,2.01364,-2.33557
2023-wimbledon-2701,-0.29843,0.36168,-0.66011,2023-usopen-1701,-0.43525,1.40171,-1.83696,2021-frenchopen-1701,0.0747,0.30519,-0.23049,2021-ausopen-WS701,-0.24339,1.49026,-1.73365
2023-wimbledon-2701,-0.44121,0.54903,-0.99024,2023-usopen-1701,-0.43998,1.44909,-1.88907,2021-frenchopen-1701,0.08914,0.37379,-0.28465,2021-ausopen-WS701,-0.13389,0.72754,-0.86143
2023-wimbledon-2701,-0.54649,0.78034,-1.32683,2023-usopen-1701,-0.44407,1.502,-1.94607,2021-frenchopen-1701,0.10345,0.43856,-0.33511,2021-ausopen-WS701,-0.14573,0.28969,-0.43542
2023-wimbledon-2701,-0.59706,0.92109,-1.51815,2023-usopen-1701,-0.44942,1.55971,-2.00913,2021-frenchopen-1701,0.11772,0.49954,-0.38182,2021-ausopen-WS701,-0.20691,0.14654,-0.35345
2023-wimbledon-2701,-0.59994,0.96323,-1.56317,2023-usopen-1701,-0.45813,1.61914,-2.07727,2021-frenchopen-1701,0.1321,0.55702,-0.42492,2021-ausopen-WS701,-0.28887,0.17114,-0.46001
2023-wimbledon-2701,-0.59835,0.9636,-1.56195,2023-usopen-1701,-0.47108,1.66752,-2.1386,2021-frenchopen-1701,0.14667,0.61161,-0.46494,2021-ausopen-WS701,-0.33013,0.19149,-0.52162
2023-wimbledon-2701,-0.60233,0.98071,-1.58304,2023-usopen-1701,-0.47709,1.65896,-2.13605,2021-frenchopen-1701,0.16152,0.66448,-0.50296,2021-ausopen-WS701,-0.31125,0.16038,-0.47163
2023-wimbledon-2701,-0.55722,0.999,-1.55622,2023-usopen-1701,-0.41088,1.53242,-1.9433,2021-frenchopen-1701,0.1767,0.7175,-0.5408,2021-ausopen-WS701,-0.25781,0.10303,-0.36084
2023-wimbledon-2701,-0.43501,0.91714,-1.35215,2023-usopen-1701,-0.31676,1.35808,-1.67484,2021-frenchopen-1701,0.19228,0.77297,-0.58069,2021-ausopen-WS701,-0.2173,0.08929,-0.30659
2023-wimbledon-2701,-0.25341,0.70676,-0.96017,2023-usopen-1701,-0.20587,1.17545,-1.38132,2021-frenchopen-1701,0.20856,0.83294,-0.62438,2021-ausopen-WS701,-0.224,0.19145,-0.41545
2023-wimbledon-2701,-0.07664,0.47137,-0.54801,2023-usopen-1701,-0.09584,1.02276,-1.1186,2021-frenchopen-1701,0.22634,0.89709,-0.67075,2021-ausopen-WS701,-0.28465,0.3635,-0.64815
2023-wimbledon-2701,0.05251,0.33038,-0.27787,2023-usopen-1701,-0.00321,0.91054,-0.91375,2021-frenchopen-1701,0.24646,0.95819,-0.71173,2021-ausopen-WS701,-0.40903,0.58504,-0.99407
2023-wimbledon-2701,0.15152,0.23781,-0.08629,2023-usopen-1701,0.06428,0.82857,-0.76429,2021-frenchopen-1701,0.26881,0.95275,-0.68394,2021-ausopen-WS701,-0.61872,0.93642,-1.55514
2023-wimbledon-2701,0.2852,0.08118,0.20402,2023-usopen-1701,0.10329,0.7739,-0.67061,2021-frenchopen-1701,0.28846,0.93389,-0.64543,2021-ausopen-WS701,-0.87219,1.40115,-2.27334
2023-wimbledon-2701,0.46609,-0.1702,0.63629,2023-usopen-1701,0.12145,0.74106,-0.61961,2021-frenchopen-1701,0.3031,0.90174,-0.59864,2021-ausopen-WS701,-1.06414,1.7872,-2.85134
2023-wimbledon-2701,0.58547,-0.40859,0.99406,2023-usopen-1701,0.14324,0.70005,-0.55681,2021-frenchopen-1701,0.31248,0.8553,-0.54282,2021-ausopen-WS701,-1.11662,1.93384,-3.05046
2023-wimbledon-2701,0.59587,-0.53797,1.13384,2023-usopen-1701,0.18184,0.62974,-0.4479,2021-frenchopen-1701,0.32021,0.79375,-0.47354,2021-ausopen-WS701,-1.03467,1.8297,-2.86437
2023-wimbledon-2701,0.55362,-0.54763,1.10125,2023-usopen-1701,0.23693,0.5312,-0.29427,2021-frenchopen-1701,0.33521,0.72016,-0.38495,2021-ausopen-WS701,-0.89037,1.58695,-2.47732
2023-wimbledon-2701,0.50651,-0.52397,1.03048,2023-usopen-1701,0.30887,0.42343,-0.11456,2021-frenchopen-1701,0.3614,0.64402,-0.28262,2021-ausopen-WS701,-0.73893,1.31273,-2.05166
2023-wimbledon-2701,0.45044,-0.48626,0.9367,2023-usopen-1701,0.38619,0.33449,0.0517,2021-frenchopen-1701,0.39698,0.57452,-0.17754,2021-ausopen-WS701,-0.56018,1.00471,-1.56489
2023-wimbledon-2701,0.34279,-0.39332,0.73611,2023-usopen-1701,0.45502,0.28609,0.16893,2021-frenchopen-1701,0.43767,0.51941,-0.08174,2021-ausopen-WS701,-0.31218,0.57233,-0.88451
2023-wimbledon-2701,0.17213,-0.23663,0.40876,2023-usopen-1701,0.50487,0.2772,0.22767,2021-frenchopen-1701,0.47869,0.48419,-0.0055,2021-ausopen-WS701,-0.02056,0.07204,-0.0926
2023-wimbledon-2701,0.0013,-0.07653,0.07783,2023-usopen-1701,0.53391,0.28256,0.25135,2021-frenchopen-1701,0.51526,0.46994,0.04532,2021-ausopen-WS701,0.22873,-0.30323,0.53196
2023-wimbledon-2701,-0.12201,0.06943,-0.19144,2023-usopen-1701,0.54113,0.29686,0.24427,2021-frenchopen-1701,0.5444,0.46945,0.07495,2021-ausopen-WS701,0.39694,-0.4906,0.88754
2023-wimbledon-2701,-0.19034,0.26729,-0.45763,2023-usopen-1701,0.53112,0.3159,0.21522,2021-frenchopen-1701,0.56532,0.47137,0.09395,2021-ausopen-WS701,0.55679,-0.61521,1.172
2023-wimbledon-2701,-0.25047,0.58654,-0.83701,2023-usopen-1701,0.5127,0.32326,0.18944,2021-frenchopen-1701,0.5791,0.46583,0.11327,2021-ausopen-WS701,0.7868,-0.7474,1.5342
2023-wimbledon-2701,-0.27345,0.98898,-1.26243,2023-usopen-1701,0.48777,0.31222,0.17555,2021-frenchopen-1701,0.58692,0.45098,0.13594,2021-ausopen-WS701,1.00202,-0.84864,1.85066
2023-wimbledon-2701,-0.21047,1.34889,-1.55936,2023-usopen-1701,0.45396,0.28753,0.16643,2021-frenchopen-1701,0.58843,0.42946,0.15897,2021-ausopen-WS701,1.11489,-0.88177,1.99666
2023-wimbledon-2701,-0.08362,1.54165,-1.62527,2023-usopen-1701,0.40713,0.26763,0.1395,2021-frenchopen-1701,0.58213,0.40556,0.17657,2021-ausopen-WS701,1.11643,-0.85183,1.96826
2023-wimbledon-2701,0.0282,1.59274,-1.56454,2023-usopen-1701,0.34323,0.27125,0.07198,2021-frenchopen-1701,0.56588,0.38747,0.17841,2021-ausopen-WS701,1.04424,-0.72969,1.77393
2023-wimbledon-2701,0.07569,1.6268,-1.55111,2023-usopen-1701,0.2601,0.30259,-0.04249,2021-frenchopen-1701,0.54064,0.38107,0.15957,2021-ausopen-WS701,0.92138,-0.43552,1.3569
2023-wimbledon-2701,0.05553,1.7996,-1.74407,2023-usopen-1701,0.15808,0.36164,-0.20356,2021-frenchopen-1701,0.50897,0.38996,0.11901,2021-ausopen-WS701,0.73217,-0.06388,0.79605
2023-wimbledon-2701,0.01204,1.98414,-1.9721,2023-usopen-1701,0.04449,0.44748,-0.40299,2021-frenchopen-1701,0.47339,0.41706,0.05633,2021-ausopen-WS701,0.49311,0.25976,0.23335
2023-wimbledon-2701,-0.05613,2.00585,-2.06198,2023-usopen-1701,-0.07025,0.54558,-0.61583,2021-frenchopen-1701,0.43395,0.45958,-0.02563,2021-ausopen-WS701,0.29336,0.47235,-0.17899
2023-wimbledon-2701,-0.1722,1.89429,-2.06649,2023-usopen-1701,-0.17569,0.6445,-0.82019,2021-frenchopen-1701,0.39091,0.50745,-0.11654,2021-ausopen-WS701,0.26788,0.57993,-0.31205
2023-wimbledon-2701,-0.36657,1.82843,-2.195,2023-usopen-1701,-0.26488,0.73955,-1.00443,2021-frenchopen-1701,0.34491,0.55492,-0.21001,2021-ausopen-WS701,0.34801,0.65111,-0.3031
2023-wimbledon-2701,-0.61006,1.96096,-2.57102,2023-usopen-1701,-0.33738,0.83991,-1.17729,2021-frenchopen-1701,0.29827,0.59908,-0.30081,2021-ausopen-WS701,0.36783,0.69872,-0.33089
2023-wimbledon-2701,-0.81391,2.12617,-2.94008,2023-usopen-1701,-0.38104,0.94913,-1.33017,2021-frenchopen-1701,0.25016,0.63842,-0.38826,2021-ausopen-WS701,0.33649,0.63605,-0.29956
2023-wimbledon-2701,-0.88028,2.02396,-2.90424,2023-usopen-1701,-0.38864,1.05509,-1.44373,2021-frenchopen-1701,0.19831,0.67154,-0.47323,2021-ausopen-WS701,0.32636,0.43594,-0.10958
2023-wimbledon-2701,-0.80644,1.61357,-2.42001,2023-usopen-1701,-0.37264,1.14227,-1.51491,2021-frenchopen-1701,0.14406,0.69664,-0.55258,2021-ausopen-WS701,0.37421,0.22642,0.14779
2023-wimbledon-2701,-0.6263,1.08218,-1.70848,2023-usopen-1701,-0.33867,1.19387,-1.53254,2021-frenchopen-1701,0.09082,0.71197,-0.62115,2021-ausopen-WS701,0.4804,0.15248,0.32792
2023-wimbledon-2701,-0.38574,0.68076,-1.0665,2023-usopen-1701,-0.29345,1.20325,-1.4967,2021-frenchopen-1701,0.04205,0.71666,-0.67461,2021-ausopen-WS701,0.52418,0.15358,0.3706
2023-wimbledon-2701,-0.14257,0.40184,-0.54441,2023-usopen-1701,-0.24522,1.17596,-1.42118,2021-frenchopen-1701,5.33E-04,0.71021,-0.70968,2021-ausopen-WS701,0.49471,0.13286,0.36185
2023-wimbledon-2701,0.09193,0.12326,-0.03133,2023-usopen-1701,-0.20579,1.13239,-1.33818,2021-frenchopen-1701,-0.03056,0.69126,-0.72182,2021-ausopen-WS701,0.48198,0.0584,0.42358
2023-wimbledon-2701,0.32897,-0.19058,0.51955,2023-usopen-1701,-0.182,1.08456,-1.26656,2021-frenchopen-1701,-0.04753,0.6621,-0.70963,2021-ausopen-WS701,0.58518,-0.06907,0.65425
2023-wimbledon-2701,0.57268,-0.47905,1.05173,2023-usopen-1701,-0.174,1.03849,-1.21249,2021-frenchopen-1701,-0.04778,0.62589,-0.67367,2021-ausopen-WS701,0.72615,-0.21488,0.94103
2023-wimbledon-2701,0.8121,-0.64794,1.46004,2023-usopen-1701,-0.18152,1.00094,-1.18246,2021-frenchopen-1701,-0.03174,0.58625,-0.61799,2021-ausopen-WS701,0.78263,-0.32554,1.10817
2023-wimbledon-2701,0.95206,-0.69312,1.64518,2023-usopen-1701,-0.19861,0.97267,-1.17128,2021-frenchopen-1701,-0.00519,0.54674,-0.55193,2021-ausopen-WS701,0.72706,-0.39698,1.12404
2023-wimbledon-2701,0.98346,-0.67114,1.6546,2023-usopen-1701,-0.21626,0.94516,-1.16142,2021-frenchopen-1701,0.02131,0.50816,-0.48685,2021-ausopen-WS701,0.59861,-0.44984,1.04845
2023-wimbledon-2701,0.97264,-0.65477,1.62741,2023-usopen-1701,-0.22834,0.90202,-1.13036,2021-frenchopen-1701,0.04308,0.46871,-0.42563,2021-ausopen-WS701,0.45104,-0.46322,0.91426
2023-wimbledon-2701,1.00153,-0.70454,1.70607,2023-usopen-1701,-0.23334,0.83113,-1.06447,2021-frenchopen-1701,0.059,0.43026,-0.37126,2021-ausopen-WS701,0.33723,-0.40914,0.74637
2023-wimbledon-2701,1.08397,-0.81187,1.89584,2023-usopen-1701,-0.23552,0.7412,-0.97672,2021-frenchopen-1701,0.0685,0.39449,-0.32599,2021-ausopen-WS701,0.18305,-0.2712,0.45425
2023-wimbledon-2701,1.11426,-0.89237,2.00663,2023-usopen-1701,-0.23811,0.64523,-0.88334,2021-frenchopen-1701,0.07086,0.36176,-0.2909,2021-ausopen-WS701,0.02465,-0.11566,0.14031
2023-wimbledon-2701,1.0816,-0.92987,2.01147,2023-usopen-1701,-0.24764,0.55506,-0.8027,2021-frenchopen-1701,0.0653,0.33243,-0.26713,2021-ausopen-WS701,-0.07009,-0.00952,-0.06057
2023-wimbledon-2701,1.11907,-0.96823,2.0873,2023-usopen-1701,-0.26534,0.48304,-0.74838,2021-frenchopen-1701,0.05049,0.30869,-0.2582,2021-ausopen-WS701,-0.10357,0.04025,-0.14382
2023-wimbledon-2701,1.32736,-1.04349,2.37085,2023-usopen-1701,-0.28151,0.43132,-0.71283,2021-frenchopen-1701,0.02526,0.29654,-0.27128,2021-ausopen-WS701,-0.09324,0.04338,-0.13662
2023-wimbledon-2701,1.61404,-1.13621,2.75025,2023-usopen-1701,-0.28646,0.38939,-0.67585,2021-frenchopen-1701,-0.0107,0.30387,-0.31457,2021-ausopen-WS701,-0.08512,0.04338,-0.1285
2023-wimbledon-2701,1.83269,-1.19725,3.02994,2023-usopen-1701,-0.27884,0.34589,-0.62473,2021-frenchopen-1701,-0.0567,0.3361,-0.3928,2021-ausopen-WS701,-0.10723,0.06624,-0.17347
2023-wimbledon-2701,1.96412,-1.17942,3.14354,2023-usopen-1701,-0.26671,0.30798,-0.57469,2021-frenchopen-1701,-0.11144,0.39338,-0.50482,2021-ausopen-WS701,-0.17031,0.14465,-0.31496
2023-wimbledon-2701,2.00339,-1.0932,3.09659,2023-usopen-1701,-0.2612,0.29951,-0.56071,2021-frenchopen-1701,-0.17274,0.47055,-0.64329,2021-ausopen-WS701,-0.29688,0.34233,-0.63921
2023-wimbledon-2701,1.95545,-0.99435,2.9498,2023-usopen-1701,-0.2621,0.32263,-0.58473,2021-frenchopen-1701,-0.23674,0.55749,-0.79423,2021-ausopen-WS701,-0.47455,0.60048,-1.07503
2023-wimbledon-2701,1.7946,-0.91247,2.70707,2023-usopen-1701,-0.26679,0.36991,-0.6367,2021-frenchopen-1701,-0.29832,0.64572,-0.94404,2021-ausopen-WS701,-0.67144,0.87414,-1.54558
2023-wimbledon-2701,1.53442,-0.83492,2.36934,2023-usopen-1701,-0.27448,0.43418,-0.70866,2021-frenchopen-1701,-0.35157,0.72732,-1.07889,2021-ausopen-WS701,-0.81057,1.13371,-1.94428
2023-wimbledon-2701,1.34111,-0.77244,2.11355,2023-usopen-1701,-0.28499,0.5054,-0.79039,2021-frenchopen-1701,-0.39052,0.79557,-1.18609,2021-ausopen-WS701,-0.85091,1.35442,-2.20533
2023-wimbledon-2701,1.38863,-0.74522,2.13385,2023-usopen-1701,-0.29467,0.56423,-0.8589,2021-frenchopen-1701,-0.41287,0.84999,-1.26286,2021-ausopen-WS701,-0.81417,1.60694,-2.42111
2023-wimbledon-2701,1.66863,-0.73575,2.40438,2023-usopen-1701,-0.30315,0.60592,-0.90907,2021-frenchopen-1701,-0.42055,0.89514,-1.31569,2021-ausopen-WS701,-0.71876,1.77016,-2.48892
2023-wimbledon-2701,1.94542,-0.69436,2.63978,2023-usopen-1701,-0.31022,0.63283,-0.94305,2021-frenchopen-1701,-0.41908,0.93485,-1.35393,2021-ausopen-WS701,-0.60417,1.79736,-2.40153
2023-wimbledon-2701,2.06098,-0.5872,2.64818,2023-usopen-1701,-0.31217,0.64601,-0.95818,2021-frenchopen-1701,-0.41664,0.97277,-1.38941,2021-ausopen-WS701,-0.51421,1.80421,-2.31842
2023-wimbledon-2701,2.01471,-0.39462,2.40933,2023-usopen-1701,-0.31078,0.65177,-0.96255,2021-frenchopen-1701,-0.41793,1.01433,-1.43226,2021-ausopen-WS701,-0.46879,1.87958,-2.34837
2023-wimbledon-2701,1.80223,-0.14093,1.94316,2023-usopen-1701,-0.31151,0.65857,-0.97008,2021-frenchopen-1701,-0.42469,1.06538,-1.49007,2021-ausopen-WS701,-0.49515,2.02702,-2.52217
2023-wimbledon-2701,1.43071,0.14991,1.2808,2023-usopen-1701,-0.3174,0.67712,-0.99452,2021-frenchopen-1701,-0.43651,1.12847,-1.56498,2021-ausopen-WS701,-0.59181,2.14641,-2.73822
2023-wimbledon-2701,0.89846,0.46269,0.43577,2023-usopen-1701,-0.33174,0.71813,-1.04987,2021-frenchopen-1701,-0.4506,1.19907,-1.64967,2021-ausopen-WS701,-0.73038,2.18138,-2.91176
2023-wimbledon-2701,0.25151,0.75312,-0.50161,2023-usopen-1701,-0.35423,0.77218,-1.12641,2021-frenchopen-1701,-0.46318,1.26819,-1.73137,2021-ausopen-WS701,-0.86618,2.24906,-3.11524
2023-wimbledon-2701,-0.35858,0.96959,-1.32817,2023-usopen-1701,-0.384,0.8262,-1.2102,2021-frenchopen-1701,-0.46941,1.3248,-1.79421,2021-ausopen-WS701,-0.95839,2.37522,-3.33361
2023-wimbledon-2701,-0.79065,1.11584,-1.90649,2023-usopen-1701,-0.41509,0.87426,-1.28935,2021-frenchopen-1701,-0.4655,1.35971,-1.82521,2021-ausopen-WS701,-0.98206,2.50176,-3.48382
2023-wimbledon-2701,-0.9922,1.25262,-2.24482,2023-usopen-1701,-0.43796,0.91206,-1.35002,2021-frenchopen-1701,-0.45061,1.36922,-1.81983,2021-ausopen-WS701,-0.93143,2.58475,-3.51618
2023-wimbledon-2701,-0.99925,1.32849,-2.32774,2023-usopen-1701,-0.42772,0.94059,-1.36831,2021-frenchopen-1701,-0.42615,1.35616,-1.78231,2021-ausopen-WS701,-0.82599,2.70321,-3.5292
2023-wimbledon-2701,-0.92781,1.32174,-2.24955,2023-usopen-1701,-0.35857,0.96341,-1.32198,2021-frenchopen-1701,-0.39535,1.32627,-1.72162,2021-ausopen-WS701,-0.68311,2.87303,-3.55614
2023-wimbledon-2701,-0.84506,1.25547,-2.10053,2023-usopen-1701,-0.23929,0.98697,-1.22626,2021-frenchopen-1701,-0.36231,1.288,-1.65031,2021-ausopen-WS701,-0.53023,3.02609,-3.55632
2023-wimbledon-2701,-0.75461,1.14885,-1.90346,2023-usopen-1701,-0.09596,1.01099,-1.10695,2021-frenchopen-1701,-0.33117,1.24788,-1.57905,2021-ausopen-WS701,-0.41958,3.11684,-3.53642
2023-wimbledon-2701,-0.68468,1.05564,-1.74032,2023-usopen-1701,0.04352,1.04628,-1.00276,2021-frenchopen-1701,-0.30569,1.21017,-1.51586,2021-ausopen-WS701,-0.39336,3.25343,-3.64679
2023-wimbledon-2701,-0.6324,0.96416,-1.59656,2023-usopen-1701,0.15268,1.12772,-0.97504,2021-frenchopen-1701,-0.29005,1.17865,-1.4687,2021-ausopen-WS701,-0.45234,3.46524,-3.91758
2023-wimbledon-2701,-0.54071,0.79447,-1.33518,2023-usopen-1701,0.21889,1.2527,-1.03381,2021-frenchopen-1701,-0.28662,1.15941,-1.44603,2021-ausopen-WS701,-0.56032,3.65746,-4.21778
2023-wimbledon-2701,-0.40487,0.54914,-0.95401,2023-usopen-1701,0.24916,1.38898,-1.13982,2021-frenchopen-1701,-0.29485,1.1559,-1.45075,2021-ausopen-WS701,-0.67666,3.67072,-4.34738
2023-wimbledon-2701,-0.27778,0.3283,-0.60608,2023-usopen-1701,0.26471,1.49565,-1.23094,2021-frenchopen-1701,-0.31172,1.1675,-1.47922,2021-ausopen-WS701,-0.76708,3.50507,-4.27215
2023-wimbledon-2701,-0.19259,0.21168,-0.40427,2023-usopen-1701,0.28819,1.53879,-1.2506,2021-frenchopen-1701,-0.33196,1.18933,-1.52129,2021-ausopen-WS701,-0.80348,3.36726,-4.17074
2023-wimbledon-2701,-0.1008,0.11199,-0.21279,2023-usopen-1701,0.33276,1.50558,-1.17282,2021-frenchopen-1701,-0.35011,1.21099,-1.5611,2021-ausopen-WS701,-0.7817,3.35763,-4.13933
2023-wimbledon-2701,0.02862,-0.02195,0.05057,2023-usopen-1701,0.3879,1.41148,-1.02358,2021-frenchopen-1701,-0.36256,1.22468,-1.58724,2021-ausopen-WS701,-0.65475,3.27691,-3.93166
2023-wimbledon-2701,0.18328,-0.18222,0.3655,2023-usopen-1701,0.42324,1.29643,-0.87319,2021-frenchopen-1701,-0.36652,1.22783,-1.59435,2021-ausopen-WS701,-0.42418,2.96778,-3.39196
2023-wimbledon-2701,0.33093,-0.34266,0.67359,2023-usopen-1701,0.41505,1.20664,-0.79159,2021-frenchopen-1701,-0.35799,1.21809,-1.57608,2021-ausopen-WS701,-0.16306,2.59793,-2.76099
2023-wimbledon-2701,0.39755,-0.42992,0.82747,2023-usopen-1701,0.35286,1.16535,-0.81249,2021-frenchopen-1701,-0.33142,1.19346,-1.52488,2021-ausopen-WS701,0.07946,2.33599,-2.25653
2023-wimbledon-2701,0.36512,-0.42018,0.7853,2023-usopen-1701,0.23799,1.16452,-0.92653,2021-frenchopen-1701,-0.285,1.15362,-1.43862,2021-ausopen-WS701,0.28764,2.15254,-1.8649
2023-wimbledon-2701,0.315,-0.39354,0.70854,2023-usopen-1701,0.08697,1.171,-1.08403,2021-frenchopen-1701,-0.22191,1.10067,-1.32258,2021-ausopen-WS701,0.47293,1.95375,-1.48082
2023-wimbledon-2701,0.29309,-0.39513,0.68822,2023-usopen-1701,-0.07392,1.16135,-1.23527,2021-frenchopen-1701,-0.14976,1.04021,-1.18997,2021-ausopen-WS701,0.65033,1.64057,-0.99024
2023-wimbledon-2701,0.26049,-0.38176,0.64225,2023-usopen-1701,-0.20134,1.11181,-1.31315,2021-frenchopen-1701,-0.07832,0.98103,-1.05935,2021-ausopen-WS701,0.81042,1.26152,-0.4511
2023-wimbledon-2701,0.19993,-0.33671,0.53664,2023-usopen-1701,-0.24295,0.99986,-1.24281,2021-frenchopen-1701,-0.01479,0.93516,-0.94995,2021-ausopen-WS701,0.94005,0.88975,0.0503
